,DATE,RIDE,ALIGHT
525,20200609,6393787.0,6374565.0
526,20200610,6440630.0,6420639.0
527,20200611,6398261.0,6380548.0
528,20200612,6637614.0,6620007.0
529,20200613,4312821.0,4295744.0
530,20200614,3032931.0,3017115.0
531,20200615,6413509.0,6395824.0
532,20200616,6477954.0,6459780.0
533,20200617,6528714.0,6510968.0
534,20200618,6507888.0,6490109.0
535,20200619,6736532.0,6718349.0
536,20200620,4425924.0,4408434.0
537,20200621,3105545.0,3089078.0
538,20200622,6382597.0,6365447.0
539,20200623,6532874.0,6514761.0
540,20200624,6281401.0,6263469.0
541,20200625,6488278.0,6470343.0
542,20200626,6861508.0,6843493.0
543,20200627,4601083.0,4582117.0
544,20200628,3239683.0,3222469.0
545,20200629,6491064.0,6471451.0
546,20200630,6398085.0,6378813.0
547,20200701,6646556.0,6622717.0
548,20200702,6660896.0,6639976.0
549,20200703,6891655.0,6870692.0
550,20200704,4579883.0,4561842.0
551,20200705,3205847.0,3188858.0
552,20200706,6583204.0,6565026.0
553,20200707,6648951.0,6629900.0
554,20200708,6719576.0,6701054.0
555,20200709,6696180.0,6677531.0
556,20200710,6800005.0,6782012.0
557,20200711,4637367.0,4584757.0
558,20200712,3196509.0,3179984.0
559,20200713,6260884.0,6241917.0
560,20200714,6655630.0,6637708.0
561,20200715,6855950.0,6835930.0
562,20200716,6776021.0,6756038.0
563,20200717,6938012.0,6917317.0
564,20200718,4635322.0,4617808.0
565,20200719,2847077.0,2831022.0
566,20200720,6414610.0,6396230.0
567,20200721,6763546.0,6743423.0
568,20200722,6586965.0,6568016.0
569,20200723,6486719.0,6465103.0
570,20200724,6828759.0,6810040.0
571,20200725,4598455.0,4580279.0
572,20200726,3258276.0,3240189.0
573,20200727,6445854.0,6426673.0
574,20200728,6614967.0,6593526.0
575,20200729,6453333.0,6433749.0
576,20200730,6595884.0,6575783.0
577,20200731,6836967.0,6815385.0
578,20200801,3940146.0,3923288.0
579,20200802,2704364.0,2689920.0
580,20200803,5799748.0,5781109.0
581,20200804,6120448.0,6101109.0
582,20200805,6156818.0,6136841.0
583,20200806,6502352.0,6481564.0
584,20200807,6910673.0,6892566.0
585,20200808,4480324.0,4460143.0
586,20200809,2679392.0,2664961.0
587,20200810,6418371.0,6397323.0
588,20200811,6470134.0,6452043.0
589,20200812,6763623.0,6743218.0
590,20200813,6651268.0,6630837.0
591,20200814,6664071.0,6645408.0
592,20200815,3803540.0,3785876.0
593,20200816,3085360.0,3068711.0
594,20200817,3781888.0,3766271.0
595,20200818,6076826.0,6058432.0
596,20200819,5833528.0,5816679.0
597,20200820,5669449.0,5653205.0
598,20200821,5650780.0,5634843.0
599,20200822,3050984.0,3038764.0
600,20200823,2167612.0,2156711.0
601,20200824,5407894.0,5393049.0
602,20200825,5450465.0,5433498.0
603,20200826,5300539.0,5285033.0
604,20200827,4913077.0,4900092.0
605,20200828,5325698.0,5310881.0
606,20200829,2798529.0,2787340.0
607,20200830,1886642.0,1877025.0
608,20200831,5036373.0,5022391.0
609,20200901,4948942.0,4934954.0
610,20200902,4757519.0,4743981.0
611,20200903,4735517.0,4723205.0
612,20200904,5244125.0,5229572.0
613,20200905,2991611.0,2979258.0
614,20200906,1999466.0,1989370.0
615,20200907,4726687.0,4714535.0
616,20200908,5271254.0,5256299.0
617,20200909,5176649.0,5162097.0
618,20200910,5297550.0,5283512.0
619,20200911,5464496.0,5448928.0
620,20200912,3170463.0,3157509.0
621,20200913,2372088.0,2360065.0
622,20200914,5664479.0,5649532.0
623,20200915,5788366.0,5772534.0
624,20200916,5719380.0,5703804.0
625,20200917,5844229.0,5827210.0
626,20200918,6139300.0,6121982.0
627,20200919,3957900.0,3942094.0
628,20200920,2746575.0,2732815.0
629,20200921,6046732.0,6030841.0
630,20200922,6144769.0,6128653.0
631,20200923,6198234.0,6181603.0
632,20200924,6213430.0,6196880.0
633,20200925,6486062.0,6469914.0
634,20200926,4158898.0,4143606.0
635,20200927,2878620.0,2865237.0
636,20200928,6242699.0,6226997.0
637,20200929,6146266.0,6129786.0
638,20200930,2509420.0,2495282.0
639,20201001,1784389.0,1775583.0
640,20201002,2450793.0,2441986.0
641,20201003,3006974.0,2993972.0
642,20201004,2714550.0,2701215.0
643,20201005,6176818.0,6159619.0
644,20201006,6330727.0,6314719.0
645,20201007,6399696.0,6382690.0
646,20201008,6649853.0,6634031.0
647,20201009,3991088.0,3976815.0
648,20201010,4143646.0,4126756.0
649,20201011,3020149.0,3003787.0
650,20201012,6468662.0,6450890.0
651,20201013,6607629.0,6589432.0
652,20201014,6649346.0,6629443.0
653,20201015,6613350.0,6592660.0
654,20201016,6843500.0,6826399.0
655,20201017,4746060.0,4727642.0
656,20201018,3328708.0,3311123.0
657,20201019,6595258.0,6577703.0
658,20201020,6765828.0,6744148.0
659,20201021,6751454.0,6730647.0
660,20201022,6770118.0,6749397.0
661,20201023,7077858.0,7058218.0
662,20201024,4897754.0,4876557.0
663,20201025,3478664.0,3458410.0
664,20201026,6696975.0,6678772.0
665,20201027,6821817.0,6802482.0
666,20201028,6898878.0,6879175.0
667,20201029,6885557.0,6865215.0
668,20201030,7161554.0,7140485.0
669,20201031,5054519.0,5031394.0
670,20201101,3175198.0,3155303.0
671,20201102,6746611.0,6725397.0
672,20201103,6825713.0,6801594.0
673,20201104,6847990.0,6827759.0
674,20201105,6894668.0,6873683.0
675,20201106,7089930.0,7070301.0
676,20201107,4998889.0,4977817.0
677,20201108,3591699.0,3570123.0
678,20201109,6715744.0,6696533.0
679,20201110,6911740.0,6891862.0
680,20201111,7012485.0,6992605.0
681,20201112,6956283.0,6936036.0
682,20201113,7148546.0,7128962.0
683,20201114,4939498.0,4918851.0
684,20201115,3492397.0,3473436.0
685,20201116,6677964.0,6659978.0
686,20201117,6759810.0,6741087.0
687,20201118,6660873.0,6641388.0
688,20201119,6328551.0,6312261.0
689,20201120,6836154.0,6812973.0
690,20201121,4372198.0,4354560.0
691,20201122,2931066.0,2914760.0
692,20201123,6324094.0,6306298.0
693,20201124,6189734.0,6172228.0
694,20201125,6203114.0,6182534.0
695,20201126,6013021.0,5995222.0
696,20201127,6005015.0,5983647.0
697,20201128,3531777.0,3515074.0
698,20201129,2476812.0,2462096.0
699,20201130,5771438.0,5752826.0
700,20201201,5777719.0,5761218.0
701,20201202,5859462.0,5840921.0
702,20201203,5801066.0,5782111.0
703,20201204,5917486.0,5898143.0
704,20201205,3552439.0,3537234.0
705,20201206,2479996.0,2467907.0
706,20201207,5703916.0,5687473.0
707,20201208,5499628.0,5484252.0
708,20201209,5468232.0,5453219.0
709,20201210,5470883.0,5455848.0
710,20201211,5583702.0,5567066.0
711,20201212,3187205.0,3174642.0
712,20201213,2052188.0,2043117.0
713,20201214,5068947.0,5054515.0
714,20201215,5009495.0,4993492.0
715,20201216,4976013.0,4959696.0
716,20201217,5040629.0,5026766.0
717,20201218,5303065.0,5287054.0
718,20201219,2922307.0,2909015.0
719,20201220,1983624.0,1974449.0
720,20201221,5191172.0,5178124.0
721,20201222,5226789.0,5208725.0
722,20201223,5235581.0,5220682.0
723,20201224,5258127.0,5241137.0
724,20201225,2288757.0,2278087.0
725,20201226,2626086.0,2613898.0
726,20201227,1892402.0,1883335.0
727,20201228,5088149.0,5072708.0
728,20201229,5104623.0,5089689.0
729,20201230,4882008.0,4867639.0
730,20201231,4670340.0,4654399.0
731,20210101,1578935.0,1570938.0
732,20210102,2438627.0,2428224.0
733,20210103,1901229.0,1890381.0
734,20210104,5254470.0,5238697.0
735,20210105,5247518.0,5231357.0
736,20210106,5472595.0,5448634.0
737,20210107,5700782.0,5684254.0
738,20210108,5271560.0,5252786.0
739,20210109,2976317.0,2962270.0
740,20210110,2013592.0,2002913.0
741,20210111,5336534.0,5316710.0
742,20210112,5765792.0,5739318.0
743,20210113,5647342.0,5629838.0
744,20210114,5564871.0,5547547.0
745,20210115,5634607.0,5617160.0
746,20210116,3393299.0,3378679.0
747,20210117,2272061.0,2261151.0
748,20210118,5800237.0,5783998.0
749,20210119,5587616.0,5571392.0
750,20210120,5866517.0,5848652.0
751,20210121,5738073.0,5719791.0
752,20210122,5927566.0,5909777.0
753,20210123,3738691.0,3723040.0
754,20210124,2606091.0,2591665.0
755,20210125,5909545.0,5891607.0
756,20210126,5835263.0,5816873.0
757,20210127,6066121.0,6048369.0
758,20210128,5884117.0,5867791.0
759,20210129,5829581.0,5812330.0
760,20210130,3766451.0,3750783.0
761,20210131,2655454.0,2641749.0
762,20210201,5985793.0,5966469.0
763,20210202,5964361.0,5944384.0
